num,annotator-id,y,label
94,0,0,0
94,1,0,0
94,2,1,0
94,6,1,0
708,0,0,0
708,1,0,0
708,2,1,0
1099,0,0,0
1099,1,0,0
1099,2,1,0
1099,3,0,0
1239,0,0,0
1239,1,0,0
1239,2,0,0
1239,3,0,0
1361,0,0,0
1361,1,0,0
1361,2,0,0
1361,3,0,0
1655,0,0,0
1655,1,0,0
1655,2,0,0
1655,5,0,0
1946,0,0,0
1946,1,0,0
1946,2,1,0
1946,3,0,0
2412,0,0,0
2412,1,0,0
2412,2,1,0
2412,5,0,0
2681,0,0,0
2681,1,0,0
2681,2,1,0
2681,3,0,0
2741,0,0,0
2741,1,0,0
2741,2,1,0
3218,0,0,0
3218,1,0,0
3218,2,1,0
3369,0,0,0
3369,1,0,0
3369,2,1,0
3369,5,0,0
3416,0,0,0
3416,1,0,0
3416,2,1,0
3672,0,0,0
3672,1,0,0
3672,2,1,0
3841,0,0,0
3841,1,0,0
3841,2,1,0
4312,0,0,0
4312,1,0,0
4312,2,0,0
4312,3,0,0
5131,0,0,0
5131,1,0,0
5131,2,1,0
5131,5,0,0
5461,0,0,0
5461,1,0,0
5461,2,0,0
5461,4,1,0
5461,5,0,0
5468,0,0,0
5468,1,0,0
5468,2,1,0
5468,3,0,0
5468,4,1,0
5486,0,0,1
5486,1,0,1
5486,2,1,1
5486,3,1,1
5998,0,0,0
5998,1,0,0
5998,2,1,0
5998,5,0,0
6470,0,0,0
6470,1,0,0
6470,2,1,0
6904,0,0,0
6904,1,0,0
6904,2,1,0
6904,3,0,0
6904,4,1,0
7047,0,0,0
7047,1,0,0
7047,2,0,0
7047,3,0,0
7412,0,0,0
7412,1,0,0
7412,2,1,0
7456,0,0,0
7456,1,0,0
7456,2,1,0
7911,0,0,0
7911,1,0,0
7911,2,1,0
8331,0,0,0
8331,1,0,0
8331,2,1,0
8465,0,0,0
8465,1,0,0
8465,2,0,0
8506,0,0,0
8506,1,0,0
8506,2,1,0
8506,5,1,0
8733,0,0,0
8733,1,0,0
8733,2,1,0
8733,3,0,0
8743,0,0,0
8743,1,0,0
8743,2,1,0
8763,0,0,1
8763,1,0,1
8763,2,0,1
8763,3,1,1
8763,4,1,1
8901,0,0,0
8901,1,0,0
8901,2,1,0
10320,0,0,0
10320,1,0,0
10320,2,1,0
10323,0,0,0
10323,1,0,0
10323,2,1,0
10323,5,0,0
10883,0,0,0
10883,1,0,0
10883,2,1,0
11031,0,0,0
11031,1,0,0
11031,2,1,0
11751,0,0,0
11751,1,0,0
11751,2,0,0
