tid,attrName,label,ec-missing-value,ec-default-value,ec-top-value,ec-valid-number,ec-cardinality-vio,ec-lookup-attr,ec-valid-data-type,ec-unused-column,ec-pattern-value,ec-value-len,ec-value-len-Hampelx84,ec-value-len-evt,ec-value-len-1-5-IQR,ec-value-len-z-test,ec-value-len-trimmed-range,ec-value-len-winsorized-range
1737,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
1776,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1793,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
182,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1909,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2082,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2106,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
217,tid,0,-1,-1,1,-1,1,0,0,0,0,0,1,0,1,0,0,0
2171,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2173,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
2381,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
992,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
2041,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1050,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1071,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1265,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1277,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1309,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1312,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1320,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
1405,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1412,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1523,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1627,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1721,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1810,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1855,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
190,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1948,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
2006,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
2045,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2078,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2087,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2246,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2257,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2312,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
349,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
531,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
57,tid,0,-1,-1,1,-1,0,0,0,0,0,1,1,0,1,0,1,1
574,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
610,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
615,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
675,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
847,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
2112,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
451,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1082,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
1113,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1165,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1181,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
1193,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1235,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1295,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1362,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1466,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1476,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1579,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
1595,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1645,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1677,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1727,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1761,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
1868,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1998,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2037,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2075,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2104,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2108,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2117,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2126,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2157,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2216,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2220,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2254,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2256,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2266,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2297,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2300,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2317,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2324,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2325,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2351,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2379,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
265,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
3,tid,0,-1,-1,1,-1,0,0,0,0,0,1,1,0,1,1,1,1
316,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
419,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
475,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
511,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
538,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
6,tid,0,-1,-1,1,-1,0,0,0,0,0,1,1,0,1,1,1,1
618,tid,0,-1,-1,1,-1,1,0,0,0,0,0,1,0,1,0,0,0
619,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
788,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
884,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
957,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1582,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1708,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1747,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1860,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1926,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
2073,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
846,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
940,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1001,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1004,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1006,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1011,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1024,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1040,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1045,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
1064,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
107,tid,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
1080,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
1083,tid,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,0,0
1102,tid,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0
